Airline,Airline Delay,Air System Delay,Air Time,Arrival Delay,Arrival Time,Cancellation Reason,Cancelled,DAY,Day Of Week,Departure Delay,Departure Time,Destination Airport,Distance,Diverted,Elapsed Time,Flight Number,Late Aircraft Delay,Month,Number of Records,Origin Airport,Scheduled Arrival,Scheduled Departure,Scheduled Time,Security Delay,Tail Number,Taxi In,Taxi Out,Weather Delay,Wheels Off,Wheels On,Year
AS,,,169,-22,0408,,0,1/1/1900,4,-11,2354,SEA,1448,0,194,98,,1/1/1900,1,ANC,0430,0005,205,,N407AS,4,21,,0015,0404,2015
AA,,,263,-9,0741,,0,1/1/1900,4,-8,0002,PBI,2330,0,279,2336,,1/1/1900,1,LAX,0750,0010,280,,N3KUAA,4,12,,0014,0737,2015
US,,,266,5,0811,,0,1/1/1900,4,-2,0018,CLT,2296,0,293,840,,1/1/1900,1,SFO,0806,0020,286,,N171US,11,16,,0034,0800,2015
AA,,,258,-9,0756,,0,1/1/1900,4,-5,0015,MIA,2342,0,281,258,,1/1/1900,1,LAX,0805,0020,285,,N3HYAA,8,15,,0030,0748,2015
AS,,,199,-21,0259,,0,1/1/1900,4,-1,0024,ANC,1448,0,215,135,,1/1/1900,1,SEA,0320,0025,235,,N527AS,5,11,,0035,0254,2015
DL,,,206,8,0610,,0,1/1/1900,4,-5,0020,MSP,1589,0,230,806,,1/1/1900,1,SFO,0602,0025,217,,N3730B,6,18,,0038,0604,2015
NK,,,154,-17,0509,,0,1/1/1900,4,-6,0019,MSP,1299,0,170,612,,1/1/1900,1,LAS,0526,0025,181,,N635NK,5,11,,0030,0504,2015
US,,,228,-10,0753,,0,1/1/1900,4,14,0044,CLT,2125,0,249,2013,,1/1/1900,1,LAX,0803,0030,273,,N584UW,8,13,,0057,0745,2015
AA,,,173,-13,0532,,0,1/1/1900,4,-11,0019,DFW,1464,0,193,1112,,1/1/1900,1,SFO,0545,0030,195,,N3LAAA,3,17,,0036,0529,2015
DL,,,186,-15,0656,,0,1/1/1900,4,3,0033,ATL,1747,0,203,1173,,1/1/1900,1,LAS,0711,0030,221,,N826DN,5,12,,0045,0651,2015
DL,,,133,-30,0453,,0,1/1/1900,4,-6,0024,ATL,1199,0,149,2336,,1/1/1900,1,DEN,0523,0030,173,,N958DN,4,12,,0036,0449,2015
AA,,,238,-10,0753,,0,1/1/1900,4,-8,0027,MIA,2174,0,266,1674,,1/1/1900,1,LAS,0803,0035,268,,N853AA,7,21,,0048,0746,2015
DL,,,188,-4,0605,,0,1/1/1900,4,0,0035,MSP,1535,0,210,1434,,1/1/1900,1,LAX,0609,0035,214,,N547US,4,18,,0053,0601,2015
DL,,,176,-22,0553,,0,1/1/1900,4,-6,0034,ATL,1590,0,199,2324,,1/1/1900,1,SLC,0615,0040,215,,N3751B,5,18,,0052,0548,2015
DL,,,166,8,0557,,0,1/1/1900,4,-1,0039,MSP,1399,0,198,2440,,1/1/1900,1,SEA,0549,0040,189,,N651DL,4,28,,0107,0553,2015
AS,,,173,-14,0455,,0,1/1/1900,4,-4,0041,SEA,1448,0,194,108,,1/1/1900,1,ANC,0509,0045,204,,N309AS,4,17,,0058,0451,2015
DL,,,171,-24,0451,,0,1/1/1900,4,-14,0031,SEA,1448,0,200,1560,,1/1/1900,1,ANC,0515,0045,210,,N3743H,4,25,,0056,0447,2015
UA,,,199,-7,0619,,0,1/1/1900,4,-6,0042,IAH,1635,0,217,1197,,1/1/1900,1,SFO,0626,0048,218,,N78448,7,11,,0053,0612,2015
AS,,,187,-18,0507,,0,1/1/1900,4,-4,0046,PDX,1542,0,201,122,,1/1/1900,1,ANC,0525,0050,215,,N413AS,3,11,,0057,0504,2015
DL,,,171,-12,0551,,0,1/1/1900,4,-5,0045,MSP,1426,0,186,1670,,1/1/1900,1,PDX,0603,0050,193,,N806DN,6,9,,0054,0545,2015
NK,,,128,6,0543,,0,1/1/1900,4,25,0120,MCI,1139,0,143,520,,1/1/1900,1,LAS,0537,0055,162,,N525NK,4,11,,0131,0539,2015
AA,,,311,1,0939,,0,1/1/1900,4,-8,0052,MIA,2724,0,347,371,,1/1/1900,1,SEA,0938,0100,338,,N3GXAA,6,30,,0122,0933,2015
NK,,,128,-1,0529,,0,1/1/1900,4,-1,0102,DFW,1055,0,147,214,,1/1/1900,1,LAS,0530,0103,147,,N632NK,6,13,,0115,0523,2015
AA,,,255,-12,0839,,0,1/1/1900,4,-2,0103,MIA,2342,0,276,115,,1/1/1900,1,LAX,0851,0105,286,,N3CTAA,7,14,,0117,0832,2015
DL,,,150,-23,0545,,0,1/1/1900,4,-3,0102,MSP,1299,0,163,1450,,1/1/1900,1,LAS,0608,0105,183,,N671DN,2,11,,0113,0543,2015
UA,,,156,-11,0607,,0,1/1/1900,4,-3,0112,IAH,1379,0,175,1545,,1/1/1900,1,LAX,0618,0115,183,,N76517,8,11,,0123,0559,2015
AS,,,186,-3,0545,,0,1/1/1900,4,-8,0107,SEA,1533,0,218,130,,1/1/1900,1,FAI,0548,0115,213,,N457AS,7,25,,0132,0538,2015
NK,0,25,166,25,0607,,0,1/1/1900,4,12,0127,FLL,1487,0,220,597,0,1/1/1900,1,MSP,0542,0115,207,0,N528NK,40,14,0,0141,0527,2015
US,,,205,-31,0754,,0,1/1/1900,4,-10,0110,CLT,1916,0,224,413,,1/1/1900,1,LAS,0825,0120,245,,N571UW,7,12,,0122,0747,2015
AA,,,188,2,0709,,0,1/1/1900,4,21,0141,MIA,1709,0,208,2392,,1/1/1900,1,DEN,0707,0120,227,,N3HRAA,8,12,,0153,0701,2015
NK,0,43,156,43,0632,,0,1/1/1900,4,72,0237,ORD,1440,0,175,168,0,1/1/1900,1,PHX,0549,0125,204,0,N629NK,10,9,0,0246,0622,2015
AA,,,217,-16,0710,,0,1/1/1900,4,-11,0116,MIA,1972,0,234,2211,,1/1/1900,1,PHX,0726,0127,239,,N3CGAA,7,10,,0126,0703,2015
AS,,,,,,A,1,1/1/1900,4,,,SEA,1448,0,,136,,1/1/1900,1,ANC,0600,0135,205,,N431AS,,,,,,2015
DL,,,182,10,0725,,0,1/1/1900,4,-6,0134,ATL,1590,0,231,95,,1/1/1900,1,SLC,0715,0140,215,,N320US,6,43,,0217,0719,2015
NK,,,148,-4,0630,,0,1/1/1900,4,-4,0140,IAH,1222,0,170,298,,1/1/1900,1,LAS,0634,0144,170,,N514NK,12,10,,0150,0618,2015
HA,15,0,361,15,0610,,0,1/1/1900,4,0,0145,HNL,2762,0,385,17,0,1/1/1900,1,LAS,0555,0145,370,0,N389HA,8,16,0,0201,0602,2015
US,,,298,-10,0905,,0,1/1/1900,4,-9,0143,PHX,2552,0,322,617,,1/1/1900,1,ANC,0915,0152,323,,N804AW,3,21,,0204,0902,2015
UA,,,220,-11,0458,,0,1/1/1900,4,3,0157,EWR,1608,0,241,1528,,1/1/1900,1,SJU,0509,0154,255,,N76519,9,12,,0209,0449,2015
AS,,,170,-35,0558,,0,1/1/1900,4,-15,0140,SEA,1448,0,198,134,,1/1/1900,1,ANC,0633,0155,218,,N464AS,11,17,,0157,0547,2015
B6,,,231,11,0501,,0,1/1/1900,4,-2,0153,JFK,1598,0,248,304,,1/1/1900,1,SJU,0450,0155,235,,N607JB,5,12,,0205,0456,2015
NK,,,174,-33,0450,,0,1/1/1900,4,-16,0139,FLL,1334,0,191,451,,1/1/1900,1,PBG,0523,0155,208,,N633NK,7,10,,0149,0443,2015
NK,,,103,1,0503,,0,1/1/1900,4,-1,0158,DFW,868,0,125,972,,1/1/1900,1,PHX,0502,0159,123,,N606NK,11,11,,0209,0452,2015
AA,,,,,,B,1,1/1/1900,4,,,DFW,868,0,,2459,,1/1/1900,1,PHX,0500,0200,120,,N3BDAA,,,,,,2015
AS,,,182,-11,0619,,0,1/1/1900,4,-10,0150,PDX,1542,0,209,144,,1/1/1900,1,ANC,0630,0200,210,,N514AS,3,24,,0214,0616,2015
NK,,,149,-11,0453,,0,1/1/1900,4,-5,0155,FLL,1176,0,178,647,,1/1/1900,1,IAG,0504,0200,184,,N630NK,8,21,,0216,0445,2015
B6,,,239,4,0516,,0,1/1/1900,4,-14,0152,EWR,1608,0,264,1990,,1/1/1900,1,SJU,0512,0206,246,,N597JB,6,19,,0211,0510,2015
US,,,183,-36,0728,,0,1/1/1900,4,-11,0209,CLT,1773,0,199,699,,1/1/1900,1,PHX,0804,0220,224,,N172US,6,10,,0219,0722,2015
AS,,,176,-12,0628,,0,1/1/1900,4,-11,0209,SEA,1448,0,199,114,,1/1/1900,1,ANC,0640,0220,200,,N303AS,8,15,,0224,0620,2015
B6,,,169,-9,0451,,0,1/1/1900,4,-7,0248,MCO,1179,0,183,668,,1/1/1900,1,PSE,0500,0255,185,,N653JB,4,10,,0258,0447,2015
UA,,,225,6,0605,,0,1/1/1900,4,-1,0258,EWR,1585,0,247,1162,,1/1/1900,1,BQN,0559,0259,240,,N37293,8,14,,0312,0557,2015
B6,0,20,160,20,0520,,0,1/1/1900,4,-3,0304,MCO,1129,0,196,1030,0,1/1/1900,1,BQN,0500,0307,173,0,N239JB,11,25,0,0329,0509,2015
B6,,,224,-16,0619,,0,1/1/1900,4,-14,0316,BOS,1674,0,243,262,,1/1/1900,1,SJU,0635,0330,245,,N627JB,5,14,,0330,0614,2015
B6,85,0,163,85,0730,,0,1/1/1900,4,95,0535,MCO,1189,0,175,2134,0,1/1/1900,1,SJU,0605,0400,185,0,N307JB,3,9,0,0544,0727,2015
B6,,,148,-7,0606,,0,1/1/1900,4,4,0423,MCO,1129,0,163,730,,1/1/1900,1,BQN,0613,0419,174,,N621JB,4,11,,0434,0602,2015
B6,,,166,-1,0629,,0,1/1/1900,4,-11,0413,MCO,1179,0,196,768,,1/1/1900,1,PSE,0630,0424,186,,N317JB,6,24,,0437,0623,2015
B6,72,17,237,89,0908,,0,1/1/1900,4,72,0550,BDL,1666,0,258,2276,0,1/1/1900,1,SJU,0739,0438,241,0,N646JB,6,15,0,0605,0902,2015
US,,,214,3,0751,,0,1/1/1900,4,-1,0459,PHX,1440,0,232,602,,1/1/1900,1,ORD,0748,0500,228,,N197UW,6,12,,0511,0745,2015
AS,,,39,0,0610,,0,1/1/1900,4,-4,0456,SEA,224,0,74,695,,1/1/1900,1,GEG,0610,0500,70,,N607AS,13,22,,0518,0557,2015
HA,,,35,-6,0543,,0,1/1/1900,4,-8,0452,ITO,216,0,51,102,,1/1/1900,1,HNL,0549,0500,49,,N492HA,6,10,,0502,0537,2015
OO,,,61,9,0638,,0,1/1/1900,4,13,0513,SFO,363,0,85,5467,,1/1/1900,1,ONT,0629,0500,89,,N701BR,5,19,,0532,0633,2015
HA,,,30,5,0549,,0,1/1/1900,4,-1,0501,KOA,163,0,48,108,,1/1/1900,1,HNL,0544,0502,42,,N476HA,6,12,,0513,0543,2015
AS,,,179,-14,0916,,0,1/1/1900,4,-8,0457,SEA,1448,0,199,730,,1/1/1900,1,ANC,0930,0505,205,,N423AS,4,16,,0513,0912,2015
HA,,,20,-11,0530,,0,1/1/1900,4,-11,0454,OGG,100,0,36,206,,1/1/1900,1,HNL,0541,0505,36,,N484HA,6,10,,0504,0524,2015
UA,,,147,11,0816,,0,1/1/1900,4,4,0514,IAH,925,0,182,1500,,1/1/1900,1,ORD,0805,0510,175,,N30401,12,23,,0537,0804,2015
AA,,,38,-11,0602,,0,1/1/1900,4,-3,0507,MIA,192,0,55,1323,,1/1/1900,1,MCO,0613,0510,63,,N3CXAA,3,14,,0521,0559,2015
NK,,,112,-10,0720,,0,1/1/1900,4,-4,0506,MYR,738,0,134,103,,1/1/1900,1,BOS,0730,0510,140,,N616NK,6,16,,0522,0714,2015
OO,,,35,0,0618,,0,1/1/1900,4,-10,0500,MSP,174,0,78,7404,,1/1/1900,1,HIB,0618,0510,68,,N8982A,6,37,,0537,0612,2015
OO,,,41,-4,0615,,0,1/1/1900,4,-2,0508,MSP,257,0,67,7419,,1/1/1900,1,ABR,0619,0510,69,,N445SW,5,21,,0529,0610,2015
OO,,,,,,B,1,1/1/1900,4,,,IAH,429,0,,5254,,1/1/1900,1,MAF,0637,0510,87,,N746SK,,,,,,2015
US,,,146,-2,0858,,0,1/1/1900,4,-5,0510,PHX,1107,0,168,480,,1/1/1900,1,SEA,0900,0515,165,,N676AW,7,15,,0525,0851,2015
AA,0,0,133,102,1038,,0,1/1/1900,4,108,0703,MIA,1121,0,155,1057,0,1/1/1900,1,DFW,0856,0515,161,0,N3ASAA,7,15,102,0718,1031,2015
AA,,,182,2,0845,,0,1/1/1900,4,-5,0510,MIA,1258,0,215,2454,,1/1/1900,1,BOS,0843,0515,208,,N3ETAA,19,14,,0524,0826,2015
EV,,,163,13,0826,,0,1/1/1900,4,2,0517,IAH,984,0,189,4354,,1/1/1900,1,MKE,0813,0515,178,,N12142,14,12,,0529,0812,2015
US,60,0,132,60,0950,,0,1/1/1900,4,60,0620,PHX,1009,0,150,425,0,1/1/1900,1,PDX,0850,0520,150,0,N174US,5,13,0,0633,0945,2015
AA,54,0,111,54,0935,,0,1/1/1900,4,58,0618,MIA,964,0,137,89,0,1/1/1900,1,IAH,0841,0520,141,0,N3KVAA,7,19,0,0637,0928,2015
DL,,,66,-6,0757,,0,1/1/1900,4,-9,0511,DTW,456,0,106,2099,,1/1/1900,1,BNA,0803,0520,103,,N355NW,10,30,,0541,0747,2015
EV,,,49,-5,0629,,0,1/1/1900,4,-3,0517,IAH,308,0,72,4685,,1/1/1900,1,BRO,0634,0520,74,,N26545,8,15,,0532,0621,2015
EV,,,42,-15,0711,,0,1/1/1900,4,-6,0514,ATL,250,0,57,5583,,1/1/1900,1,VPS,0726,0520,66,,N882AS,6,9,,0523,0705,2015
OO,,,79,3,0615,,0,1/1/1900,4,5,0525,SFO,522,0,110,5484,,1/1/1900,1,BOI,0612,0520,112,,N824AS,7,24,,0549,0608,2015
OO,,,34,9,0629,,0,1/1/1900,4,-3,0517,MSP,199,0,72,7370,,1/1/1900,1,BJI,0620,0520,60,,N432SW,7,31,,0548,0622,2015
HA,,,21,-12,0548,,0,1/1/1900,4,-10,0513,LIH,102,0,35,103,,1/1/1900,1,HNL,0600,0523,37,,N477HA,7,7,,0520,0541,2015
EV,,,35,5,0735,,0,1/1/1900,4,0,0525,ATL,214,0,70,5187,,1/1/1900,1,BNA,0730,0525,65,,N720EV,3,32,,0557,0732,2015
MQ,,,,,,B,1,1/1/1900,4,,,DFW,364,0,,2859,,1/1/1900,1,SGF,0700,0525,95,,N660MQ,,,,,,2015
UA,,,210,6,0826,,0,1/1/1900,4,2,0532,IAH,1325,0,234,1201,,1/1/1900,1,PHL,0820,0530,230,,N79521,12,12,,0544,0814,2015
UA,,,125,4,0856,,0,1/1/1900,4,4,0534,DEN,991,0,142,1221,,1/1/1900,1,PDX,0852,0530,142,,N37281,8,9,,0543,0848,2015
UA,,,138,-1,0906,,0,1/1/1900,4,-1,0529,DEN,1024,0,157,1607,,1/1/1900,1,SEA,0907,0530,157,,N36476,9,10,,0539,0857,2015
AA,53,13,96,66,0941,,0,1/1/1900,4,53,0623,DFW,641,0,138,328,0,1/1/1900,1,DEN,0835,0530,125,0,N4XKAA,10,32,0,0655,0931,2015
EV,,,22,-14,0511,,0,1/1/1900,4,-3,0527,ORD,84,0,44,5764,,1/1/1900,1,SBN,0525,0530,55,,N832AS,10,12,,0539,0501,2015
F9,,,128,-18,0752,,0,1/1/1900,4,-4,0526,MCO,861,0,146,1279,,1/1/1900,1,PHL,0810,0530,160,,N918FR,6,12,,0538,0746,2015
NK,,,149,-25,0913,,0,1/1/1900,4,-4,0526,FLL,1182,0,167,409,,1/1/1900,1,ORD,0938,0530,188,,N509NK,6,12,,0538,0907,2015
OO,,,,,,A,1,1/1/1900,4,,,SFO,199,0,,5460,,1/1/1900,1,RDD,0700,0530,90,,N583SW,,,,,,2015
OO,,,143,13,0926,,0,1/1/1900,4,-4,0526,DEN,996,0,180,6391,,1/1/1900,1,EUG,0913,0530,163,,N593ML,11,26,,0552,0915,2015
UA,19,7,127,26,0923,,0,1/1/1900,4,19,0550,DEN,967,0,153,1532,0,1/1/1900,1,SFO,0857,0531,146,0,N77066,11,15,0,0605,0912,2015
UA,,,142,3,0723,,0,1/1/1900,4,7,0540,DEN,888,0,163,1167,,1/1/1900,1,ORD,0720,0533,167,,N66837,11,10,,0550,0712,2015
UA,,,194,14,0816,,0,1/1/1900,4,6,0541,IAH,1190,0,215,1012,,1/1/1900,1,IAD,0802,0535,207,,N17245,9,12,,0553,0807,2015
B6,,,56,-15,0648,,0,1/1/1900,4,-5,0530,JFK,301,0,78,2001,,1/1/1900,1,BUF,0703,0535,88,,N358JB,5,17,,0547,0643,2015
B6,,,50,-25,0635,,0,1/1/1900,4,-7,0528,JFK,273,0,67,2807,,1/1/1900,1,PWM,0700,0535,85,,N190JB,4,13,,0541,0631,2015
B6,19,0,184,19,1039,,0,1/1/1900,4,43,0618,SJU,1598,0,201,2023,0,1/1/1900,1,JFK,1020,0535,225,0,N324JB,4,13,0,0631,1035,2015
EV,,,33,-21,0615,,0,1/1/1900,4,-12,0523,IAH,201,0,52,4557,,1/1/1900,1,CRP,0636,0535,61,,N12967,7,12,,0535,0608,2015
EV,,,54,-18,0745,,0,1/1/1900,4,-5,0530,DTW,346,0,75,5241,,1/1/1900,1,PIA,0803,0535,88,,N849AS,3,18,,0548,0742,2015
EV,,,41,-3,0757,,0,1/1/1900,4,15,0550,DTW,235,0,67,5498,,1/1/1900,1,ORD,0800,0535,85,,N132EV,8,18,,0608,0749,2015
OO,,,42,0,0650,,0,1/1/1900,4,-5,0530,LAX,209,0,80,6512,,1/1/1900,1,FAT,0650,0535,75,,N925SW,5,33,,0603,0645,2015
UA,56,22,129,78,1018,,0,1/1/1900,4,56,0634,DEN,909,0,164,1577,0,1/1/1900,1,SMF,0900,0538,142,0,N69813,9,26,0,0700,1009,2015
OO,,,173,-16,0654,,0,1/1/1900,4,-3,0535,LAX,1242,0,199,4986,,1/1/1900,1,AUS,0710,0538,212,,N719SK,10,16,,0551,0644,2015
B6,,,66,-21,0700,,0,1/1/1900,4,-4,0536,BWI,369,0,84,727,,1/1/1900,1,BOS,0721,0540,101,,N292JB,4,14,,0550,0656,2015
B6,,,95,-33,0823,,0,1/1/1900,4,-11,0529,BOS,867,0,114,1012,,1/1/1900,1,ORD,0856,0540,136,,N375JB,3,16,,0545,0820,2015
DL,0,0,178,128,1331,,0,1/1/1900,4,148,0808,DTW,1671,0,203,824,0,1/1/1900,1,PHX,1123,0540,223,0,N3736C,6,19,128,0827,1325,2015
DL,,,84,-15,0827,,0,1/1/1900,4,6,0546,ATL,692,0,101,941,,1/1/1900,1,MCI,0842,0540,122,,N910DN,6,11,,0557,0821,2015
DL,,,105,-21,0742,,0,1/1/1900,4,-3,0537,DTW,632,0,125,2079,,1/1/1900,1,BOS,0803,0540,143,,N389DA,5,15,,0552,0737,2015
EV,,,79,14,0739,,0,1/1/1900,4,16,0556,IAD,534,0,103,3268,,1/1/1900,1,ATL,0725,0540,105,,N14998,15,9,,0605,0724,2015
EV,,,109,-14,0743,,0,1/1/1900,4,-9,0531,EWR,820,0,132,4160,,1/1/1900,1,JAX,0757,0540,137,,N11150,14,9,,0540,0729,2015
OO,0,25,138,25,0946,,0,1/1/1900,4,-2,0538,DEN,964,0,188,6285,0,1/1/1900,1,MFR,0921,0540,161,0,N962SW,8,42,0,0620,0938,2015
OO,,,158,-16,0937,,0,1/1/1900,4,-3,0537,IAH,1195,0,180,5184,,1/1/1900,1,SLC,0953,0540,193,,N776SK,4,18,,0555,0933,2015
OO,,,72,7,0732,,0,1/1/1900,4,-2,0539,DEN,458,0,113,6358,,1/1/1900,1,IDA,0725,0541,104,,N926SW,11,30,,0609,0721,2015
F9,,,128,-11,0658,,0,1/1/1900,4,-10,0534,DEN,826,0,144,161,,1/1/1900,1,MSN,0709,0544,145,,N905FR,9,7,,0541,0649,2015
OO,,,36,-21,0738,,0,1/1/1900,4,-2,0543,DTW,237,0,55,4833,,1/1/1900,1,MKE,0759,0545,74,,N554CA,9,10,,0553,0729,2015
UA,,,107,-6,0858,,0,1/1/1900,4,-3,0542,DEN,836,0,136,1119,,1/1/1900,1,GEG,0904,0545,139,,N69810,8,21,,0603,0850,2015
UA,,,238,11,1207,,0,1/1/1900,4,-4,0541,IAH,1874,0,266,1237,,1/1/1900,1,SEA,1156,0545,251,,N65832,15,13,,0554,1152,2015
UA,,,182,-7,0807,,0,1/1/1900,4,5,0550,IAH,1208,0,197,1540,,1/1/1900,1,DCA,0814,0545,209,,N78509,5,10,,0600,0802,2015
AA,,,41,-12,0638,,0,1/1/1900,4,-6,0539,DFW,247,0,59,1433,,1/1/1900,1,SAT,0650,0545,65,,N4YNAA,6,12,,0551,0632,2015
AA,55,14,152,69,0959,,0,1/1/1900,4,55,0640,MIA,1089,0,199,2299,0,1/1/1900,1,JFK,0850,0545,185,0,N3LLAA,30,17,0,0657,0929,2015
B6,,,170,-9,0901,,0,1/1/1900,4,6,0551,PBI,1197,0,190,721,,1/1/1900,1,BOS,0910,0545,205,,N623JB,4,16,,0607,0857,2015
B6,,,44,-13,0649,,0,1/1/1900,4,-2,0543,JFK,187,0,66,917,,1/1/1900,1,BOS,0702,0545,77,,N606JB,10,12,,0555,0639,2015
B6,,,180,-19,1007,,0,1/1/1900,4,0,0545,BQN,1576,0,202,939,,1/1/1900,1,JFK,1026,0545,221,,N794JB,5,17,,0602,1002,2015
DL,,,86,-2,0847,,0,1/1/1900,4,18,0603,ATL,731,0,104,1890,,1/1/1900,1,DFW,0849,0545,124,,N377DA,5,13,,0616,0842,2015
EV,,,91,1,0742,,0,1/1/1900,4,-5,0540,EWR,628,0,122,4646,,1/1/1900,1,CHS,0741,0545,116,,N29917,5,26,,0606,0737,2015
F9,17,0,120,17,0743,,0,1/1/1900,4,36,0621,DEN,896,0,142,365,0,1/1/1900,1,MKE,0726,0545,161,0,N218FR,13,9,0,0630,0730,2015
F9,,,104,-8,0646,,0,1/1/1900,4,-7,0538,DEN,680,0,128,117,,1/1/1900,1,MSP,0654,0545,129,,N933FR,9,15,,0553,0637,2015
MQ,,,,,,B,1,1/1/1900,4,,,DFW,987,0,,2926,,1/1/1900,1,CHS,0755,0545,190,,N932MQ,,,,,,2015
OO,56,0,112,56,0811,,0,1/1/1900,4,73,0658,LAX,862,0,133,2599,0,1/1/1900,1,DEN,0715,0545,150,0,N435SW,10,11,0,0709,0801,2015
OO,,,134,10,0929,,0,1/1/1900,4,-3,0542,DEN,916,0,167,5482,,1/1/1900,1,SBA,0919,0545,154,,N934SW,8,25,,0607,0921,2015
OO,,,,,,A,1,1/1/1900,4,,,LAX,134,0,,6457,,1/1/1900,1,SMX,0651,0545,66,,N560SW,,,,,,2015
HA,,,27,-6,0624,,0,1/1/1900,4,-8,0540,KOA,163,0,44,218,,1/1/1900,1,HNL,0630,0548,42,,N485HA,7,10,,0550,0617,2015
B6,,,78,-6,0719,,0,1/1/1900,4,-9,0540,BUF,395,0,99,515,,1/1/1900,1,BOS,0725,0549,96,,N337JB,4,17,,0557,0715,2015
UA,,,263,-35,1329,,0,1/1/1900,4,-3,0547,EWR,2434,0,282,228,,1/1/1900,1,PDX,1404,0550,314,,N439UA,9,10,,0557,1320,2015
US,,,234,4,0754,,0,1/1/1900,4,-5,0545,PHX,1488,0,249,641,,1/1/1900,1,IND,0750,0550,240,,N650AW,3,12,,0557,0751,2015
UA,,,118,-9,0906,,0,1/1/1900,4,0,0550,DEN,862,0,136,495,,1/1/1900,1,LAX,0915,0550,145,,N548UA,7,11,,0601,0859,2015
UA,39,4,170,43,0847,,0,1/1/1900,4,39,0629,IAH,1091,0,198,507,0,1/1/1900,1,CLE,0804,0550,194,0,N808UA,17,11,0,0640,0830,2015
UA,,,46,-19,0659,,0,1/1/1900,4,2,0552,EWR,200,0,67,1553,,1/1/1900,1,BOS,0718,0550,88,,N37290,9,12,,0604,0650,2015
US,,,91,-10,0739,,0,1/1/1900,4,0,0550,PHX,602,0,109,403,,1/1/1900,1,DEN,0749,0550,119,,N660AW,3,15,,0605,0736,2015
US,,,159,-5,0743,,0,1/1/1900,4,-6,0544,PHX,1044,0,179,446,,1/1/1900,1,MCI,0748,0550,178,,N651AW,5,15,,0559,0738,2015
AA,,,36,-1,0649,,0,1/1/1900,4,-2,0548,DFW,190,0,61,1178,,1/1/1900,1,AUS,0650,0550,60,,N573AA,6,19,,0607,0643,2015
AA,,,150,2,1052,,0,1/1/1900,4,10,0600,DFW,1235,0,172,2410,,1/1/1900,1,LAX,1050,0550,180,,N3BAAA,5,17,,0617,1047,2015
DL,,,28,0,0649,,0,1/1/1900,4,0,0550,ATL,153,0,59,2453,,1/1/1900,1,GSP,0649,0550,59,,N966DL,5,26,,0616,0644,2015
B6,,,127,-7,0812,,0,1/1/1900,4,-2,0548,EWR,937,0,144,2228,,1/1/1900,1,MCO,0819,0550,149,,N231JB,5,12,,0600,0807,2015
EV,,,110,1,0806,,0,1/1/1900,4,-2,0548,IAH,643,0,138,4555,,1/1/1900,1,MCI,0805,0550,135,,N13133,13,15,,0603,0753,2015
EV,,,58,-19,0659,,0,1/1/1900,4,-7,0543,IAD,326,0,76,5698,,1/1/1900,1,BDL,0718,0550,88,,N835AS,9,9,,0552,0650,2015
MQ,,,,,,B,1,1/1/1900,4,,,DFW,158,0,,3534,,1/1/1900,1,ABI,0645,0550,55,,N925MQ,,,,,,2015
EV,,,195,13,0828,,0,1/1/1900,4,-2,0548,IAH,1157,0,220,4339,,1/1/1900,1,RIC,0815,0550,205,,N14179,11,14,,0602,0817,2015
OO,6,14,125,20,0940,,0,1/1/1900,4,6,0556,DEN,845,0,164,6204,0,1/1/1900,1,BFL,0920,0550,150,0,N917SW,8,31,0,0627,0932,2015
OO,,,198,-19,0740,,0,1/1/1900,4,7,0557,SFO,1482,0,223,6261,,1/1/1900,1,SAT,0759,0550,249,,N107SY,16,9,,0606,0724,2015
OO,15,6,120,21,0831,,0,1/1/1900,4,15,0605,IAH,781,0,146,5160,0,1/1/1900,1,OMA,0810,0550,140,0,N794SK,10,16,0,0621,0821,2015
OO,,,130,6,0919,,0,1/1/1900,4,-1,0549,DEN,898,0,150,6224,,1/1/1900,1,RDM,0913,0550,143,,N956SW,8,12,,0601,0911,2015
B6,,,162,9,0848,,0,1/1/1900,4,-2,0551,BDL,1173,0,177,860,,1/1/1900,1,FLL,0839,0553,166,,N656JB,5,10,,0601,0843,2015
EV,,,84,-17,0848,,0,1/1/1900,4,0,0554,ATL,694,0,114,5230,,1/1/1900,1,CID,0905,0554,131,,N181PQ,3,27,,0621,0845,2015
WN,,,132,-2,0923,,0,1/1/1900,4,-2,0553,DEN,967,0,150,526,,1/1/1900,1,SFO,0925,0555,150,,N742SW,7,11,,0604,0916,2015
UA,,,310,4,0840,,0,1/1/1900,4,2,0557,LAX,2218,0,343,1222,,1/1/1900,1,MCO,0836,0555,341,,N68452,23,10,,0607,0817,2015
UA,,,131,-13,0818,,0,1/1/1900,4,-6,0549,EWR,997,0,149,1507,,1/1/1900,1,TPA,0831,0555,156,,N31412,9,9,,0558,0809,2015
AA,0,16,216,16,1206,,0,1/1/1900,4,0,0555,DFW,1660,0,251,1094,0,1/1/1900,1,SEA,1150,0555,235,0,N3DXAA,11,24,0,0619,1155,2015
AA,,,243,-10,0920,,0,1/1/1900,4,-4,0551,DFW,1562,0,269,1233,,1/1/1900,1,BOS,0930,0555,275,,N3HXAA,11,15,,0606,0909,2015
B6,,,43,-13,0705,,0,1/1/1900,4,-5,0550,JFK,209,0,75,115,,1/1/1900,1,SYR,0718,0555,83,,N284JB,5,27,,0617,0700,2015
